Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BASN_biomass_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,1478.3,0.0,0.0,1478.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_1,1,270.2,0.0,0.0,270.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_geothermal_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,1,7827.9,0.0,0.0,7827.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,203.51,0.0,0.0,203.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,154.29,0.0,0.0,154.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_solar_photovoltaic_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,5619.52,0.0,0.0,5619.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,2276.9,0.0,0.0,2276.9,35291.950000000004,0.0,0.0,35291.950000000004,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,10931.6,0.0,0.0,10931.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,433.91,0.0,0.0,433.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_petroleum_liquids_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,204.22,0.0,0.0,204.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_solar_photovoltaic_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,919.01,0.0,0.0,919.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_geothermal_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,1665.0,0.0,0.0,1665.0,25807.5,0.0,0.0,25807.5,0.0,0.0,0.0,0.0
