GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
ERCOT_batteries_1,Batteries,Electricity,ERCOT,200.0,False,False,.,0.15,0.0,ERCOT_batteries_1,0.01,0.02,0,False,0.8464,1.0,1,.,.,.,.,Storage,4343.499999999999
ERCOT_conventional_hydroelectric_1,Conventional Hydroelectric,Water,ERCOT,200.0,False,False,.,0.0,0.0,ERCOT_conventional_hydroelectric_1,0.05,0.05,0,False,.,.,1,.,.,.,.,Hydro,539.0999999999999
ERCOT_conventional_steam_coal_1,Conventional Steam Coal,Coal,ERCOT,200.0,False,True,11.092,1.879,0.0,ERCOT_conventional_steam_coal_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Coal,8776.6
ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,ERCOT,200.0,False,False,7.917,3.726,0.0,ERCOT_natural_gas_fired_combined_cycle_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Naturalgas,39930.4
ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,ERCOT,200.0,False,False,11.476,5.279,0.0,ERCOT_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Naturalgas,9176.400000000001
ERCOT_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,ERCOT,200.0,False,False,13.186,1.056,0.0,ERCOT_natural_gas_steam_turbine_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Naturalgas,8363.2
ERCOT_nuclear_1,Nuclear,Uranium,ERCOT,200.0,False,True,10.446,2.841,0.0,ERCOT_nuclear_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Nuclear,5120.0
ERCOT_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,ERCOT,200.0,True,False,.,0.0,0.0,ERCOT_onshore_wind_turbine_1,0.0,0.0,0,False,.,.,1,.,.,.,.,Wind,35923.299999999996
ERCOT_solar_photovoltaic_1,Solar Photovoltaic,Solar,ERCOT,200.0,True,False,.,0.0,0.0,ERCOT_solar_photovoltaic_1,0.0,0.0,0,False,.,.,1,.,.,.,.,Solar,18911.2
Eastern_batteries_1,Batteries,Electricity,Eastern,200.0,False,False,.,0.15,0.0,Eastern_batteries_1,0.01,0.02,0,False,0.8464,1.0,1,.,.,.,.,Storage,1831.2
Eastern_conventional_hydroelectric_1,Conventional Hydroelectric,Water,Eastern,200.0,False,False,.,0.0,0.0,Eastern_conventional_hydroelectric_1,0.05,0.05,0,False,.,.,1,.,.,.,.,Hydro,28528.600000000002
Eastern_conventional_steam_coal_1,Conventional Steam Coal,Coal,Eastern,200.0,False,True,11.127,1.879,0.0,Eastern_conventional_steam_coal_1,0.06,0.04,0,False,.,.,1,.,.,.,.,Coal,122956.40000000001
