map_name,gen_type,gen_tech,energy_source
default,Storage,Batteries,Electricity
default,Hydro,Conventional Hydroelectric,Water
default,Coal,Conventional Steam Coal,Coal
default,Naturalgas,Natural Gas Fired Combined Cycle,Naturalgas
default,Naturalgas,Natural Gas Fired Combustion Turbine,Naturalgas
default,Naturalgas,Natural Gas Steam Turbine,Naturalgas
default,Nuclear,Nuclear,Uranium
default,Wind,Onshore Wind Turbine,Wind
default,Solar,Solar Photovoltaic,Solar
default,Hydro,Hydroelectric Pumped Storage,Electricity
default,Geothermal,Geothermal,Heat
default,Naturalgas,NaturalGas_CCCCSAvgCF_Conservative,Naturalgas
default,Naturalgas,NaturalGas_CCAvgCF_Moderate,Naturalgas
default,Naturalgas,NaturalGas_CTAvgCF_Moderate,Naturalgas
default,Storage,Battery_*_Moderate,Electricity
default,Nuclear,Nuclear_Nuclear_Moderate,Uranium
default,Wind,LandbasedWind_Class3_Moderate,Wind
default,Solar,UtilityPV_Class1_Moderate,Solar
default,Wind,OffShoreWind_Class3_Moderate_fixed_1,Wind
default,Wind,OffShoreWind_Class12_Moderate_floating_1,Wind
