region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_batteries_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_biomass_1,1,1,2,0.0,0.0,0.0,2.6232815e6,0.0,0.0,697308.393599999,1.6224953471999816e6,0.0,0.0,0.0,7.953866885707305e6,0.0,0.0,0.0,0.0,0.0,7.953866885707305e6,4.94308524079998e6,3.0107816449073246e6
BASN,BASN_biomass_2,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,4,0.0,0.0,0.0,8.261911088000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4843403408475614e8,0.0,0.0,0.0,0.0,0.0,3.4843403408475614e8,8.261911088000001e7,2.6581492320475614e8
BASN,BASN_conventional_steam_coal_1,1,1,5,0.0,0.0,0.0,3.8276520000000005e6,0.0,0.0,420.11480290238865,3774.798543674169,0.0,1336.4274170138237,0.0,11496.316344598004,0.0,0.0,0.0,55511.23130152684,0.0,11496.316344598004,3.888694572065118e6,-3.87719825572052e6
BASN,BASN_conventional_steam_coal_2,1,2,6,0.0,0.0,0.0,1.324342464e8,0.0,0.0,503.2611090672243,3836.081034656992,0.0,1558.7751387211415,0.0,14316.158559943608,0.0,0.0,0.0,56843.857259776705,0.0,14316.158559943608,1.3249698837454224e8,-1.3248267221598229e8
BASN,BASN_geothermal_1,1,1,7,0.0,0.0,0.0,7.209175177e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5768368758996072e8,0.0,0.0,0.0,0.0,0.0,1.5768368758996072e8,7.209175177e7,8.559193581996073e7
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,5.7896170200000005e6,0.0,0.0,163605.42257904302,1.5344049487110542e6,0.0,440661.75379278895,0.0,6.656092565542427e6,0.0,0.0,0.0,3.8974689825847847e6,0.0,6.656092565542427e6,1.1825758127667671e7,-5.169665562125244e6
BASN,BASN_natural_gas_fired_combined_cycle_2,1,2,9,0.0,0.0,0.0,7.712526476e7,0.0,0.0,1.7617062355198104e7,1.541163846123746e8,0.0,5.972510045857579e7,0.0,6.675953112712957e8,0.0,0.0,0.0,3.9472766826886773e8,0.0,6.675953112712957e8,7.033114804550163e8,-3.571616918372059e7
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,10,0.0,0.0,0.0,2.0474007840000004e7,0.0,0.0,200602.36042791276,1.8862700739630728e6,0.0,1.2702971636883214e6,0.0,8.39513294759653e6,0.0,0.0,0.0,5.029044326246698e6,0.0,8.39513294759653e6,2.8860221764326006e7,-2.046508881672948e7
