Resource,Zone,StartCap,RetCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BASN_batteries_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_biomass_1,1,17.39,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_biomass_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,1756.06,0.0,0.0,1756.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_1,1,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_2,1,2019.8,0.0,0.0,2019.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_geothermal_1,1,344.77,0.0,0.0,344.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,1,428.67,0.0,0.0,428.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,1,7042.76,0.0,0.0,7042.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,1,1883.88,0.0,0.0,1883.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,1,233.84,0.0,0.0,233.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,219.17,0.0,0.0,219.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,1454.0,0.0,0.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_petroleum_liquids_1,1,25.8,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,177.94,0.0,0.0,177.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_solar_photovoltaic_1,1,7922.67,0.0,0.0,7922.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_batteries_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_1,2,74.43,0.0,0.0,74.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,6835.44,0.0,0.0,6835.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,2276.9,0.0,0.0,2276.9,0.0,35291.950000000004,0.0,0.0,35291.950000000004,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3081.67,0.0,0.0,3081.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_2,2,8213.93,0.0,0.0,8213.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_1,2,1974.96,0.0,0.0,1974.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_2,2,1494.88,0.0,0.0,1494.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,439.94,0.0,0.0,439.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,698.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_petroleum_liquids_1,2,167.91,0.0,0.0,167.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,222.56,0.0,0.0,222.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_solar_photovoltaic_1,2,6284.94,0.0,0.0,6284.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_batteries_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_1,3,99.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_2,3,13.6,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,945.46,0.0,0.0,945.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_geothermal_1,3,23.73,0.0,0.0,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,1665.0,0.0,0.0,1665.0,0.0,25807.5,0.0,0.0,25807.5,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1965.06,0.0,0.0,1965.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,3,7383.52,0.0,0.0,7383.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_1,3,1440.16,0.0,0.0,1440.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_2,3,3915.05,0.0,0.0,3915.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,3,50.2,0.0,0.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,3464.4,0.0,0.0,3464.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_petroleum_liquids_1,3,14.1,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_small_hydroelectric_1,3,66.91,0.0,0.0,66.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_solar_photovoltaic_1,3,13760.2,0.0,0.0,13760.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_batteries_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_biomass_1,4,54.34,0.0,0.0,54.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_biomass_2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_hydroelectric_1,4,43.5,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_steam_coal_1,4,2497.77,0.0,0.0,2497.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_steam_coal_2,4,437.58,0.0,0.0,437.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,2289.57,0.0,0.0,2289.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_2,4,28449.6,0.0,0.0,28449.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
