Resource,Zone,StartCap,RetCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
BASN_batteries_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_biomass_1,1,5.49,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_biomass_2,1,3.66,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,1478.3,0.0,0.0,1478.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_1,1,219.2,0.0,0.0,219.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_conventional_steam_coal_2,1,509.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_geothermal_1,1,67.81,0.0,0.0,67.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,1,7113.9,0.0,0.0,7113.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_2,1,433.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_1,1,1460.9,0.0,0.0,1460.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_fired_combustion_turbine_2,1,236.2,0.0,0.0,236.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,203.5,0.0,0.0,203.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_natural_gas_steam_turbine_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_onshore_wind_turbine_1,1,520.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_petroleum_liquids_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,152.8,0.0,0.0,152.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN_solar_photovoltaic_1,1,4274.2,0.0,0.0,4274.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_batteries_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_1,2,9.54,0.0,0.0,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_biomass_2,2,8.67,0.0,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,5616.8,0.0,0.0,5616.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,2,2276.9,0.0,0.0,2276.9,0.0,35291.950000000004,0.0,0.0,35291.950000000004,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_1,2,2491.5,0.0,0.0,2491.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_2,2,8296.9,0.0,0.0,8296.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_1,2,1004.4,0.0,0.0,1004.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_2,2,1945.4,0.0,0.0,1945.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,421.1,0.0,0.0,421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,2,2.9,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,61.8,0.0,0.0,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_petroleum_liquids_1,2,148.4,0.0,0.0,148.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,204.31,0.0,0.0,204.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_solar_photovoltaic_1,2,2501.9,0.0,0.0,2501.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_batteries_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_1,3,4.23,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_2,3,15.2,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,919.0,0.0,0.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_geothermal_1,3,23.71,0.0,0.0,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,1665.0,0.0,0.0,1665.0,0.0,25807.5,0.0,0.0,25807.5,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1078.1,0.0,0.0,1078.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,3,6090.1,0.0,0.0,6090.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_1,3,3813.6,0.0,0.0,3813.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_2,3,1402.5,0.0,0.0,1402.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,3,48.6,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_steam_turbine_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,3,416.1,0.0,0.0,416.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_petroleum_liquids_1,3,3.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_small_hydroelectric_1,3,65.76,0.0,0.0,65.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_solar_photovoltaic_1,3,6500.5,0.0,0.0,6500.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_batteries_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_biomass_1,4,5.85,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_biomass_2,4,16.69,0.0,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_hydroelectric_1,4,43.5,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_steam_coal_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_conventional_steam_coal_2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,28737.0,0.0,0.0,28737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_2,4,2256.7,0.0,0.0,2256.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_1,4,133.4,0.0,0.0,133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_2,4,6701.2,0.0,0.0,6701.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,4,232.4,0.0,0.0,232.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_natural_gas_steam_turbine_1,4,335.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_nuclear_1,4,3737.0,0.0,0.0,3737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_petroleum_liquids_1,4,2.6,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_solar_photovoltaic_1,4,5877.7,0.0,0.0,5877.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_batteries_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_biomass_1,5,8.1,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_biomass_2,5,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_conventional_hydroelectric_1,5,464.8,0.0,0.0,464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_conventional_steam_coal_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,5,1768.0,0.0,0.0,1768.0,0.0,27404.0,0.0,0.0,27404.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,2660.6,0.0,0.0,2660.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combined_cycle_2,5,10499.0,0.0,0.0,10499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_1,5,373.5,0.0,0.0,373.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_2,5,1315.9,0.0,0.0,1315.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_internal_combustion_engine_1,5,52.4,0.0,0.0,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_steam_turbine_1,5,10.2,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_nuclear_1,5,3348.1,0.0,0.0,3348.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_offshore_wind_turbine_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,5,39.8,0.0,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
