map_name,gen_type,gen_tech,energy_source
default,Biomass,Biomass,Waste_biomass
default,Hydro,Conventional Hydroelectric,Water
default,Coal,Conventional Steam Coal,Coal
default,Geothermal,Geothermal,Heat
default,Naturalgas,Natural Gas Fired Combined Cycle,Naturalgas
default,Naturalgas,Natural Gas Fired Combustion Turbine,Naturalgas
default,Naturalgas,Natural Gas Internal Combustion Engine,Naturalgas
default,Wind,Onshore Wind Turbine,Wind
default,Hydro,Small Hydroelectric,Water
default,Solar,Solar Photovoltaic,Solar
default,Hydro,Hydroelectric Pumped Storage,Electricity
default,Naturalgas,Natural Gas Steam Turbine,Naturalgas
default,Petroleum,Petroleum Liquids,Distillate
default,Nuclear,Nuclear,Uranium
default,Solar,distributed_generation,Solar
default,Naturalgas,NaturalGas_CCAvgCF_Moderate,Naturalgas
default,Naturalgas,NaturalGas_CTAvgCF_Moderate,Naturalgas
default,Storage,Battery_*_Moderate,Electricity
default,Nuclear,Nuclear_Nuclear_Moderate,Uranium
default,Hydrogen,Hydrogen_CTAvgCF_Moderate,Hydrogen
default,Hydrogen,Hydrogen_CCAvgCF_Moderate,Hydrogen
default,Wind,LandbasedWind_Class3_Moderate,Wind
default,Solar,UtilityPV_Class1_Moderate,Solar
default,Naturalgas,NaturalGas_CCCCSAvgCF_Conservative,Naturalgas
default,Wind,OffShoreWind_Class12_Moderate_floating_1,Wind
default,Wind,OffShoreWind_Class12_Moderate_floating_0,Wind
default,Wind,OffShoreWind_Class3_Moderate_fixed_0,Wind
default,Wind,OffShoreWind_Class3_Moderate_fixed_1,Wind
